model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
AE+LR,3,0.8755926845789117,0.6046304541406946,0.8638676844783715,0.7113672079622839,0.945922641560831,0.8167590547090019,,,,,,
AE+LR,4,0.8919648885887913,0.739880059970015,0.88125,0.80440097799511,0.9578461534327846,0.8927618562286824,,,,,,
AE+LR,5,0.8885150291610587,0.6905864197530864,0.9031281533804238,0.7826847398338435,0.9636477358819512,0.8980023429567338,,,,,,
AE+LR,mean,0.8856810675037797,0.6733446182542406,0.8715143996889511,0.758889633608622,0.9539910437936372,0.8605115229856276,0.006006106521080781,0.04496681607434061,0.02387833790872889,0.032052703955283174,0.007074980331879665,0.03091306775541235
AE+LSTM,1,0.8951983298538622,0.6694656488549618,0.927061310782241,0.7774822695035462,0.9709786317547128,0.9007848834945608,,,,,,
AE+LSTM,2,0.8809364548494983,0.6401906274821286,0.9086809470124013,0.7511649580615097,0.9609011770913691,0.8834985727864698,,,,,,
AE+LSTM,3,0.8916233912847144,0.640625,0.8867684478371501,0.743863393810032,0.9623091166509162,0.8567313215369747,,,,,,
AE+LSTM,4,0.8951159126716183,0.7248968363136176,0.9410714285714286,0.818958818958819,0.9701818494475731,0.9256312358790258,,,,,,
AE+LSTM,5,0.8838043965903993,0.6707581227436823,0.9374369323915237,0.781986531986532,0.9676386585121299,0.910956192311729,,,,,,
AE+LSTM,mean,0.8893356970500186,0.669187247078878,0.920203813318949,0.7746911944640877,0.9664018866913404,0.8955204412017521,0.005901820994471663,0.030863277197472328,0.02015025133130676,0.02654984640364228,0.004093235665273104,0.023756084886374616
AE+GRU,1,0.8839248434237996,0.6392857142857142,0.9460887949260042,0.763000852514919,0.972847775726923,0.9057871141598332,,,,,,
AE+GRU,2,0.8680044593088071,0.6098287416232315,0.923337091319053,0.7345291479820628,0.9619339442619068,0.8838134092800243,,,,,,
AE+GRU,3,0.8717543463535787,0.5900826446280992,0.9083969465648855,0.7154308617234469,0.9610309150177517,0.8578982012047998,,,,,,
AE+GRU,4,0.8804861580013504,0.6898774983881367,0.9553571428571429,0.8011980531636091,0.9699005309316022,0.9242717947383731,,,,,,
AE+GRU,5,0.8927770300583221,0.6950570342205323,0.922300706357215,0.792714657415438,0.9693215286002054,0.9132051724566254,,,,,,
AE+GRU,mean,0.8793893674291716,0.6448263266291427,0.93109613640486,0.7613747145598951,0.967006938907678,0.8969951383679311,0.00881944082652533,0.041964585360533636,0.017124204117956298,0.03287021964856809,0.004675333382844758,0.023606814708969116
