trip_instance_id,knn_dist,y
2026-03-20_1481779_U_57,0.05726970359683037,0
2026-03-20_1481779_U_7,0.09269922226667404,0
2026-03-20_1481779_U_71,0.027450555935502052,0
2026-03-20_1481779_U_72,0.09481596946716309,0
2026-03-20_1481779_U_73,0.09597653150558472,0
2026-03-20_1481779_U_8,0.19128087162971497,0
2026-03-20_1481779_U_81,0.09790222346782684,0
2026-03-20_1481779_U_86,0.027588406577706337,0
2026-03-20_1481779_U_87,0.13059720396995544,1
2026-03-20_1481779_U_9,0.03852032124996185,0
2026-03-20_1481779_U_93,0.030758628621697426,0
2026-03-20_1481779_U_94,0.15165190398693085,0
2026-03-20_1481779_U_95,0.12612836062908173,0
2026-03-20_1481779_U_96,0.02569722943007946,0
2026-03-20_1493653_U_16,0.03990516811609268,1
2026-03-20_1493653_U_23,0.14906051754951477,0
2026-03-20_1493653_U_25,0.06107894331216812,0
2026-03-20_1493653_U_34,0.07881367206573486,1
2026-03-20_1493653_U_35,0.03341357037425041,0
2026-03-20_1493653_U_67,0.061618417501449585,0
2026-03-20_1493653_U_75,0.10511352866888046,0
2026-03-20_1493653_U_8,0.12435699999332428,0
2026-03-20_1493653_U_82,0.07088477164506912,0
2026-03-20_1493653_U_83,0.17757506668567657,0
2026-03-20_1495854_U_11,0.15300564467906952,1
2026-03-20_1495854_U_13,0.10786201804876328,0
2026-03-20_1495854_U_26,0.10519200563430786,0
2026-03-20_1495854_U_27,0.030634859576821327,0
2026-03-20_1495854_U_33,0.14776594936847687,0
2026-03-20_1495854_U_34,0.05834111198782921,0
2026-03-20_1495854_U_35,0.07203524559736252,0
2026-03-20_1495854_U_36,0.033684905618429184,0
2026-03-20_1495854_U_39,0.11838097870349884,0
2026-03-20_1495854_U_41,0.09969058632850647,0
2026-03-20_1495854_U_43,0.06392121315002441,1
2026-03-20_1495854_U_45,0.11368405818939209,1
2026-03-20_1495854_U_46,0.04865975305438042,0
2026-03-20_1495855_U_15,0.14430344104766846,0
2026-03-20_1495855_U_42,0.07683311402797699,0
2026-03-20_1495855_U_45,0.1125686913728714,1
2026-03-20_1495856_U_17,0.09571120887994766,0
2026-03-20_1495856_U_18,0.09338908642530441,0
2026-03-20_1495856_U_24,0.14220699667930603,0
2026-03-20_1495856_U_25,0.13186517357826233,0
2026-03-20_1495856_U_26,0.06721653044223785,1
2026-03-20_1495856_U_28,0.01947176270186901,0
2026-03-20_1495856_U_35,0.13367727398872375,0
2026-03-20_1495856_U_36,0.1101418063044548,0
2026-03-20_1495856_U_37,0.033049311488866806,0
2026-03-20_1495856_U_38,0.029104454442858696,1
2026-03-20_1495856_U_43,0.14633525907993317,0
2026-03-20_1496805_U_10,0.06318031251430511,0
2026-03-20_1496805_U_14,0.1279875934123993,1
2026-03-20_1496805_U_15,0.036751195788383484,1
2026-03-20_1496805_U_23,0.08377283811569214,1
2026-03-20_1496805_U_24,0.10297929495573044,1
2026-03-20_1496805_U_32,0.1003919392824173,0
2026-03-20_1496805_U_33,0.04891803115606308,0
2026-03-20_1496805_U_35,0.037993744015693665,0
2026-03-20_1496805_U_48,0.062027670443058014,0
2026-03-20_1496805_U_50,0.018273597583174706,1
2026-03-20_1496805_U_51,0.023364001885056496,1
2026-03-20_1496805_U_56,0.1515394002199173,1
2026-03-20_1496805_U_59,0.024332771077752113,0
2026-03-20_1496805_U_63,0.05320997163653374,1
2026-03-20_1496805_U_70,0.07449068874120712,1
2026-03-20_1496805_U_74,0.0788932591676712,1
2026-03-20_1496806_U_11,0.11636122316122055,0
2026-03-20_1496806_U_12,0.02981814742088318,0
2026-03-20_1496806_U_13,0.02649526856839657,0
2026-03-20_1496806_U_14,0.08955160528421402,0
2026-03-20_1496806_U_15,0.04321034997701645,0
2026-03-20_1496806_U_16,0.014370188117027283,0
2026-03-20_1496806_U_26,0.1225322037935257,0
2026-03-20_1496806_U_27,0.15693388879299164,0
2026-03-20_1496806_U_28,0.02427254430949688,0
2026-03-20_1496806_U_29,0.03095535933971405,0
2026-03-20_1496806_U_30,0.040765855461359024,0
2026-03-20_1496806_U_31,0.014439204707741737,0
2026-03-20_1496806_U_32,0.03585347160696983,0
2026-03-20_1496808_U_15,0.14228615164756775,0
2026-03-20_1496808_U_16,0.09737521409988403,1
2026-03-20_1496808_U_17,0.07635469734668732,1
2026-03-20_1496808_U_24,0.06709491461515427,1
2026-03-20_1496808_U_32,0.056224972009658813,0
2026-03-20_1496808_U_33,0.06202765926718712,1
2026-03-20_1496808_U_41,0.05892458185553551,0
2026-03-20_1496808_U_46,0.0844823345541954,1
2026-03-20_1496808_U_52,0.1300414651632309,0
2026-03-20_1496808_U_53,0.06308206170797348,0
2026-03-20_1496808_U_54,0.04894241318106651,1
2026-03-20_1496808_U_59,0.08038688451051712,1
2026-03-20_1496808_U_62,0.03511680290102959,0
2026-03-20_1496808_U_67,0.15107768774032593,1
2026-03-20_1496808_U_70,0.050243884325027466,1
2026-03-20_1496808_U_75,0.11919324845075607,0
2026-03-20_1496808_U_76,0.10457270592451096,1
2026-03-20_1496808_U_77,0.03820633888244629,0
2026-03-20_1496808_U_78,0.03652380779385567,0
2026-03-20_1496808_U_79,0.040881264954805374,0
2026-03-20_1496808_U_87,0.11479716747999191,0
2026-03-20_1496808_U_9,0.06052901968359947,1
2026-03-20_1496808_U_91,0.08454358577728271,1
2026-03-20_1496808_U_95,0.07054786384105682,0
2026-03-20_1496808_U_96,0.03678319230675697,0
2026-03-20_1496808_U_97,0.02662399411201477,0
2026-03-20_1496811_U_16,0.10710624605417252,0
2026-03-20_1496811_U_24,0.11456669867038727,0
2026-03-20_1496811_U_25,0.03938357159495354,0
2026-03-20_1496811_U_31,0.11877650022506714,1
2026-03-20_1496811_U_32,0.09226250648498535,0
2026-03-20_1496811_U_33,0.06622099876403809,0
2026-03-20_1496811_U_41,0.06415349245071411,0
2026-03-20_1496811_U_48,0.05433302000164986,0
