frac,model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc
0.5,RAW-STATS+RF,2,0.8236343366778149,0.5555555555555556,0.5411499436302142,0.548258138206739,0.8197896488904961,0.5995121270880834
0.5,RAW-STATS+LR,2,0.7665551839464882,0.4371069182389937,0.6268320180383314,0.5150532654006484,0.7928197301143752,0.5082176133881547
0.5,RAW-FLAT+XGBoost,2,0.8256410256410256,0.5630252100840336,0.5287485907553551,0.5453488372093023,0.8286142307545279,0.5999370283053027
0.5,RAW-FLAT+LR,2,0.768561872909699,0.442056792018419,0.649379932356257,0.5260273972602739,0.792020870921024,0.504890893983684
0.5,RAW-STATS+XGBoost,3,0.7891171822081734,0.43853820598006643,0.6717557251908397,0.5306532663316583,0.821294489973102,0.5459159520578782
0.5,RAW-STATS+RF,3,0.7807631519530368,0.4227234753550543,0.6437659033078881,0.5103378719112456,0.8091707824060784,0.5301259368037903
0.5,RAW-STATS+LR,3,0.7236396477760216,0.3551587301587302,0.683206106870229,0.46736292428198434,0.7820306502973041,0.4300064718036484
0.5,RAW-FLAT+XGBoost,3,0.7981485662677805,0.4487666034155598,0.6017811704834606,0.5141304347826087,0.8193345808022497,0.5360989710133248
0.5,RAW-FLAT+LR,3,0.7234138631745315,0.35587655942219304,0.6895674300254453,0.46946730186227803,0.7745594569808318,0.44336105040955187
0.5,RAW-STATS+XGBoost,4,0.7882061670042764,0.5615120274914089,0.7294642857142857,0.6345631067961165,0.8531616761962082,0.6758347347772737
0.5,RAW-STATS+RF,4,0.7870808012604096,0.5607541899441341,0.7169642857142857,0.6293103448275862,0.8537151777653584,0.6696386089311995
0.5,RAW-STATS+LR,4,0.7166329056943507,0.46312997347480106,0.7794642857142857,0.5810316139767054,0.8123715661407506,0.5729373046945093
0.5,RAW-FLAT+XGBoost,4,0.7981093855503039,0.5870413739266198,0.6714285714285714,0.626405664306539,0.8531157301921671,0.6644798601577442
0.5,RAW-FLAT+LR,4,0.7238352464550979,0.4707809939923539,0.7696428571428572,0.5842087427990512,0.8073153561755728,0.5686858205755712
0.5,RAW-STATS+XGBoost,5,0.8014804845222072,0.5429497568881686,0.6760847628657921,0.6022471910112359,0.8392402112231894,0.6436142960984933
0.5,RAW-STATS+RF,5,0.7956482727680574,0.532626427406199,0.6589303733602422,0.589084348218313,0.84293862530295,0.6426288475477767
0.5,RAW-STATS+LR,5,0.7079407806191117,0.41088825214899716,0.7235116044399597,0.5241228070175439,0.7773494767007482,0.46574991551395545
0.5,RAW-FLAT+XGBoost,5,0.8034993270524899,0.5520361990950227,0.615539858728557,0.5820610687022901,0.8294090133963095,0.615951386666816
0.5,RAW-FLAT+LR,5,0.7137729923732615,0.4166179052077238,0.7184661957618567,0.5274074074074074,0.773931201406835,0.44841213958622134
0.75,RAW-STATS+XGBoost,1,0.8150313152400835,0.5254668930390493,0.6543340380549683,0.5828625235404896,0.8480592472164963,0.641942002009926
0.75,RAW-STATS+RF,1,0.811482254697286,0.5192825112107623,0.6120507399577167,0.5618631732168851,0.8422078943489538,0.6111357509853363
0.75,RAW-STATS+LR,1,0.753027139874739,0.4239897370109044,0.6987315010570825,0.5277445109780439,0.8074767958851884,0.5349600528521756
0.75,RAW-FLAT+XGBoost,1,0.8240083507306889,0.5509396636993076,0.5887949260042283,0.569238630556975,0.8478574005671505,0.6256382744379688
0.75,RAW-FLAT+LR,1,0.7532359081419624,0.4231770833333333,0.6871035940803383,0.523771152296535,0.7999600706628269,0.5296114015675691
0.75,RAW-STATS+XGBoost,2,0.8278706800445931,0.5661680092059839,0.5546786922209695,0.5603644646924829,0.8369030019809327,0.623817295688418
0.75,RAW-STATS+RF,2,0.8292084726867336,0.5766793409378961,0.5129650507328072,0.5429594272076372,0.8254150339064733,0.6020041237038927
0.75,RAW-STATS+LR,2,0.7754738015607581,0.45098039215686275,0.6223224351747464,0.5229748934154429,0.7982087004367326,0.5278025885531953
0.75,RAW-FLAT+XGBoost,2,0.8280936454849498,0.5728643216080402,0.5140924464487034,0.5418894830659536,0.8274185270158231,0.6040880903646393
0.75,RAW-FLAT+LR,2,0.7681159420289855,0.4383561643835616,0.6133032694475761,0.5112781954887218,0.7872415027013003,0.5137893435745382
0.75,RAW-STATS+XGBoost,3,0.7943102280424476,0.4470787468247248,0.6717557251908397,0.5368581596339603,0.8289327924375165,0.5546198006063855
0.75,RAW-STATS+RF,3,0.7798600135470761,0.4190231362467866,0.6221374045801527,0.500768049155146,0.8049733219063505,0.5137597854915013
0.75,RAW-STATS+LR,3,0.7389930006773539,0.3682336182336182,0.6577608142493638,0.47214611872146117,0.7810555850077425,0.4512752945960427
0.75,RAW-FLAT+XGBoost,3,0.8132761345676225,0.47875647668393784,0.5877862595419847,0.5276984580239863,0.8225332280039309,0.5416409312953514
0.75,RAW-FLAT+LR,3,0.7324452472341386,0.36344969199178645,0.6755725190839694,0.472630173564753,0.7736989409086686,0.45434495022456645
0.75,RAW-STATS+XGBoost,4,0.7940580688723835,0.5705437026841018,0.7401785714285715,0.6443839875631558,0.8583898478139375,0.6861204116810242
0.75,RAW-STATS+RF,4,0.7875309475579564,0.5620592383638928,0.7116071428571429,0.628053585500394,0.8526860947508705,0.6790408914422971
0.75,RAW-STATS+LR,4,0.7292370020256583,0.47726027397260273,0.7776785714285714,0.5915110356536503,0.818502267744293,0.5886523758626315
0.75,RAW-FLAT+XGBoost,4,0.8044114337159577,0.5995241871530531,0.675,0.6350272994540109,0.8582005556510899,0.6821165910517604
0.75,RAW-FLAT+LR,4,0.7348638307449922,0.48346636259977194,0.7571428571428571,0.5901183020180932,0.8126620201195134,0.5869214098619834
0.75,RAW-STATS+XGBoost,5,0.8093315388066398,0.56,0.6639757820383451,0.6075715604801477,0.8498025348994716,0.6691859321304655
0.75,RAW-STATS+RF,5,0.8046209062359803,0.5529100529100529,0.6326942482341069,0.5901176470588235,0.8436627658735368,0.652640814142797
0.75,RAW-STATS+LR,5,0.737101839389861,0.44253968253968257,0.7033299697275479,0.5432579890880749,0.7960970918829021,0.5147024618566727
