model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
RAW-STATS+RF,3,0.7807631519530368,0.4210076857386849,0.6272264631043257,0.5038323965252938,0.8073474242840151,0.5108214266908961,,,,,,
RAW-STATS+RF,4,0.7882061670042764,0.5622825330549757,0.7214285714285714,0.6319906140007822,0.850207160053308,0.670886661937705,,,,,,
RAW-STATS+RF,5,0.8017048003589053,0.5453005927180355,0.649848637739657,0.5930018416206262,0.8480151766824408,0.6548842503465079,,,,,,
RAW-STATS+RF,mean,0.8020261247199617,0.5248739691144791,0.6298622642804438,0.5686935612030156,0.8338249649202372,0.6097975064628471,0.01794671212854869,0.05790428953999377,0.06468618402207181,0.04273715086424691,0.015855959787389705,0.055921875812046905
RAW-STATS+LR,1,0.753027139874739,0.42300194931773877,0.6881606765327696,0.523943661971831,0.8051800340114355,0.5358762898516422,,,,,,
RAW-STATS+LR,2,0.7759197324414716,0.4519543973941368,0.6257046223224352,0.524822695035461,0.7986013148981052,0.5295051156722294,,,,,,
RAW-STATS+LR,3,0.7464438925265297,0.3779869659666908,0.6641221374045801,0.48177203507152744,0.7854950656527665,0.4584561709235512,,,,,,
RAW-STATS+LR,4,0.7272113436866982,0.4747530186608123,0.7723214285714286,0.5880353501019715,0.8176429968616997,0.5949331443030301,,,,,,
RAW-STATS+LR,5,0.7456258411843876,0.45335942596216566,0.7013118062563067,0.5507131537242472,0.8083390840611363,0.5363253849256909,,,,,,
RAW-STATS+LR,mean,0.7496455899427652,0.43621115146030887,0.6903241342175039,0.5338573791810075,0.8030516990970286,0.5310192211352287,0.01569375732887589,0.03344227096315018,0.04839667699727223,0.03496329517102646,0.01070918780429274,0.043369170701691585
