trip_instance_id,date,line_id,trip_id,delayed,degraded_day,rain_mm_trip,score_cnn,score_lstm,anom_cnn,anom_lstm,score_mean
2026-03-11_1103013_U_33,2026-03-11,57,1103013_U_33,0,0,0.2,-1.9759865315703415,2.7890574148946192,False,True,0.40653544166213884
2026-03-11_1103013_U_36,2026-03-11,57,1103013_U_36,0,0,0.0,-0.4374171426916073,1.2622294800975982,False,False,0.4124061687029954
2026-03-11_1103013_U_39,2026-03-11,57,1103013_U_39,0,0,1.2,0.05953956670217129,1.226263095252092,False,False,0.6429013309771316
2026-03-11_1103013_U_4,2026-03-11,57,1103013_U_4,0,0,0.0,-0.28485187844739873,-0.34948881433491424,False,False,-0.3171703463911565
2026-03-11_1103013_U_43,2026-03-11,57,1103013_U_43,0,0,0.0,0.6990852960992745,1.7200109192547737,False,True,1.209548107677024
2026-03-11_1103013_U_45,2026-03-11,57,1103013_U_45,0,0,0.2,-0.037819326015902745,0.37411279971326944,False,False,0.16814673684868334
2026-03-11_1103013_U_46,2026-03-11,57,1103013_U_46,0,0,0.2,-1.6196107579509138,1.5586912304197629,False,False,-0.030459763765575465
2026-03-11_1103013_U_47,2026-03-11,57,1103013_U_47,0,0,0.4,-0.9214784758561252,3.066373534731149,False,True,1.072447529437512
2026-03-11_1103013_U_48,2026-03-11,57,1103013_U_48,0,0,0.0,-1.4650086102663271,1.7818395901033628,False,True,0.15841548991851784
2026-03-11_1103013_U_5,2026-03-11,57,1103013_U_5,0,0,0.0,-1.0487667768951818,2.9580261221080324,False,True,0.9546296726064253
2026-03-11_1103013_U_50,2026-03-11,57,1103013_U_50,0,0,0.0,-0.6784175724220529,1.8594695432346087,False,True,0.5905259854062779
2026-03-11_1103013_U_51,2026-03-11,57,1103013_U_51,0,0,0.0,-1.3289444254788816,3.363722030447623,False,True,1.017388802484371
2026-03-11_1103013_U_52,2026-03-11,57,1103013_U_52,0,0,0.0,-0.21929285162205162,0.004966518615633951,False,False,-0.10716316650320883
2026-03-11_1103013_U_6,2026-03-11,57,1103013_U_6,0,0,0.0,-1.1193117386485745,1.6389824375817577,False,True,0.2598353494665916
2026-03-11_1103013_U_7,2026-03-11,57,1103013_U_7,0,0,0.0,-0.9551088978208745,1.5142743636237088,False,False,0.27958273290141716
2026-03-11_1103013_U_8,2026-03-11,57,1103013_U_8,0,0,0.2,-1.2476291323289175,2.857499732518863,False,True,0.8049353000949728
2026-03-11_1288544_U_1,2026-03-11,54,1288544_U_1,0,0,0.0,-0.4047657821444812,-0.5549496087197127,False,False,-0.47985769543209694
2026-03-11_1288544_U_10,2026-03-11,54,1288544_U_10,0,0,0.2,-0.30270821149030314,0.007660526376197502,False,False,-0.1475238425570528
2026-03-11_1288544_U_2,2026-03-11,54,1288544_U_2,1,0,0.0,-0.7451722746450555,-0.8769072692129047,False,False,-0.8110397719289801
