trip_instance_id,recon_mse,split,y
2026-03-11_1364755_U_3,0.38557804,history,1
2026-03-11_1364755_U_30,1.2257779,history,1
2026-03-11_1364755_U_33,0.39939874,history,0
2026-03-11_1364755_U_34,0.533809,history,0
2026-03-11_1364755_U_35,0.21698928,history,0
2026-03-11_1364755_U_36,0.54181015,history,1
2026-03-11_1364755_U_37,0.3925559,history,1
2026-03-11_1364755_U_42,0.34446797,history,0
2026-03-11_1364755_U_43,0.44745085,history,0
2026-03-11_1364755_U_44,0.3981025,history,1
2026-03-11_1364755_U_45,0.36860272,history,1
2026-03-11_1364755_U_46,0.21473992,history,1
2026-03-11_1364755_U_47,0.88670087,history,1
2026-03-11_1364755_U_5,0.4047488,history,1
2026-03-11_1364755_U_51,0.32215095,history,1
2026-03-11_1364755_U_52,0.16292399,history,0
2026-03-11_1364755_U_53,0.18059424,history,0
2026-03-11_1364755_U_6,1.0275762,history,1
2026-03-11_1364755_U_9,0.9009899,history,1
2026-03-11_1374661_U_1,0.25253522,history,1
2026-03-11_1374661_U_10,0.42298704,history,1
2026-03-11_1374661_U_11,0.19023034,history,1
2026-03-11_1374661_U_12,0.19527994,history,0
2026-03-11_1374661_U_14,0.19630544,history,0
2026-03-11_1374661_U_16,0.22898531,history,1
2026-03-11_1374661_U_17,0.14224425,history,0
2026-03-11_1374661_U_2,0.88703984,history,1
2026-03-11_1374661_U_3,0.25190294,history,1
2026-03-11_1374661_U_4,0.857738,history,1
2026-03-11_1374661_U_5,0.20007849,history,1
2026-03-11_1374661_U_6,0.45795295,history,1
2026-03-11_1374661_U_7,0.2550951,history,0
2026-03-11_1374661_U_8,0.38323852,history,0
2026-03-11_1374661_U_9,0.1810482,history,0
2026-03-11_1374662_U_1,0.16873807,history,0
2026-03-11_1374662_U_2,0.16216215,history,0
2026-03-11_1374662_U_3,0.16370577,history,0
2026-03-11_1374662_U_4,0.28638318,history,1
2026-03-11_1374663_U_1,0.21998364,history,0
2026-03-11_1374663_U_10,0.58092284,history,0
2026-03-11_1374663_U_104,0.18411557,history,1
2026-03-11_1374663_U_105,0.24868616,history,0
2026-03-11_1374663_U_106,0.2109651,history,0
2026-03-11_1374663_U_107,0.3215382,history,1
2026-03-11_1374663_U_112,0.21434677,history,1
2026-03-11_1374663_U_113,0.1997118,history,1
2026-03-11_1374663_U_114,0.17644736,history,0
2026-03-11_1374663_U_115,0.25209796,history,0
2026-03-11_1374663_U_116,0.2569928,history,0
2026-03-11_1374663_U_117,0.35737297,history,0
2026-03-11_1374663_U_118,0.36497292,history,0
2026-03-11_1374663_U_12,0.29866886,history,0
2026-03-11_1374663_U_120,0.44250497,history,0
2026-03-11_1374663_U_13,0.44051802,history,1
2026-03-11_1374663_U_14,0.5666662,history,1
2026-03-11_1374663_U_15,0.2843096,history,0
2026-03-11_1374663_U_16,0.13640974,history,0
2026-03-11_1374663_U_2,0.27671987,history,0
2026-03-11_1374663_U_23,0.26473278,history,0
2026-03-11_1374663_U_24,0.26129568,history,0
2026-03-11_1374663_U_25,0.22997628,history,1
2026-03-11_1374663_U_26,0.2732272,history,1
2026-03-11_1374663_U_27,0.22975138,history,1
2026-03-11_1374663_U_28,0.25571308,history,0
2026-03-11_1374663_U_29,0.23666452,history,0
2026-03-11_1374663_U_3,0.16932504,history,1
2026-03-11_1374663_U_30,0.32339495,history,1
2026-03-11_1374663_U_31,0.27927738,history,0
2026-03-11_1374663_U_32,0.213738,history,0
2026-03-11_1374663_U_33,0.28344238,history,0
2026-03-11_1374663_U_34,0.18343703,history,0
2026-03-11_1374663_U_35,0.3060658,history,0
2026-03-11_1374663_U_36,0.24195567,history,0
2026-03-11_1374663_U_37,0.32874674,history,0
2026-03-11_1374663_U_38,0.20574324,history,1
2026-03-11_1374663_U_39,0.2367065,history,0
2026-03-11_1374663_U_4,0.14819726,history,0
2026-03-11_1374663_U_40,0.2738766,history,0
2026-03-11_1374663_U_41,0.22388029,history,0
2026-03-11_1374663_U_42,0.26480085,history,0
2026-03-11_1374663_U_44,0.2695359,history,1
2026-03-11_1374663_U_45,0.17071114,history,1
2026-03-11_1374663_U_47,0.28012428,history,1
2026-03-11_1374663_U_48,0.33875918,history,0
2026-03-11_1374663_U_5,0.21521577,history,1
2026-03-11_1374663_U_52,1.115793,history,0
2026-03-11_1374663_U_53,0.2401571,history,0
2026-03-11_1374663_U_57,0.62596726,history,1
2026-03-11_1374663_U_58,0.64696425,history,1
2026-03-11_1374663_U_6,0.23531029,history,1
2026-03-11_1374663_U_60,0.30667108,history,0
2026-03-11_1374663_U_61,0.21091548,history,1
2026-03-11_1374663_U_62,0.1725736,history,0
2026-03-11_1374663_U_64,0.3707319,history,1
2026-03-11_1374663_U_65,0.19397132,history,0
2026-03-11_1374663_U_66,0.16940802,history,1
2026-03-11_1374663_U_67,0.19507954,history,1
2026-03-11_1374663_U_68,0.23062429,history,0
2026-03-11_1374663_U_69,0.23999195,history,0
2026-03-11_1374663_U_70,0.30574527,history,0
2026-03-11_1374663_U_71,0.22365558,history,0
2026-03-11_1374663_U_72,0.28874037,history,0
2026-03-11_1374663_U_73,0.2355464,history,1
2026-03-11_1374663_U_74,0.13366887,history,1
2026-03-11_1374663_U_76,0.22368956,history,0
2026-03-11_1374663_U_77,0.2056728,history,0
2026-03-11_1374663_U_78,0.1493311,history,0
2026-03-11_1374663_U_8,0.6894943,history,0
2026-03-11_1374663_U_81,0.32881045,history,0
2026-03-11_1374663_U_82,0.18929438,history,1
2026-03-11_1374663_U_83,0.2523796,history,0
2026-03-11_1374663_U_84,0.28948936,history,1
2026-03-11_1374663_U_85,0.2039119,history,0
2026-03-11_1374663_U_86,0.21659118,history,0
2026-03-11_1374663_U_87,0.17781638,history,1
2026-03-11_1374663_U_88,0.1306372,history,0
2026-03-11_1374663_U_89,0.25628743,history,1
2026-03-11_1374663_U_9,0.28078347,history,0
2026-03-11_1374663_U_90,0.17439811,history,1
2026-03-11_1374663_U_91,0.18822984,history,0
2026-03-11_1374663_U_92,0.23109643,history,1
2026-03-11_1374663_U_93,0.25832602,history,0
2026-03-11_1374663_U_95,0.22473519,history,1
2026-03-11_1374663_U_96,0.36267245,history,1
2026-03-11_1379485_U_1,0.35735297,history,0
2026-03-11_1379485_U_10,0.26392522,history,0
2026-03-11_1379485_U_102,0.1483906,history,1
2026-03-11_1379485_U_103,0.25081953,history,0
2026-03-11_1379485_U_104,0.2646129,history,1
2026-03-11_1379485_U_105,0.24801749,history,0
2026-03-11_1379485_U_107,0.13143496,history,1
2026-03-11_1379485_U_110,0.29328978,history,0
2026-03-11_1379485_U_111,0.3245684,history,0
2026-03-11_1379485_U_113,0.24459013,history,0
2026-03-11_1379485_U_116,0.24477528,history,1
2026-03-11_1379485_U_118,0.09127635,history,0
2026-03-11_1379485_U_12,0.31861612,history,0
2026-03-11_1379485_U_120,0.44276282,history,1
2026-03-11_1379485_U_121,0.43444166,history,1
2026-03-11_1379485_U_123,0.79949224,history,1
2026-03-11_1379485_U_128,0.38336885,history,0
2026-03-11_1379485_U_129,0.4154786,history,0
2026-03-11_1379485_U_13,0.5192709,history,0
2026-03-11_1379485_U_130,0.14585242,history,1
2026-03-11_1379485_U_131,0.13758403,history,1
2026-03-11_1379485_U_132,0.15770087,history,1
2026-03-11_1379485_U_134,0.1558576,history,0
2026-03-11_1379485_U_135,0.21233623,history,0
2026-03-11_1379485_U_136,0.15249825,history,1
2026-03-11_1379485_U_137,0.17771044,history,0
2026-03-11_1379485_U_138,0.17273828,history,0
2026-03-11_1379485_U_139,0.32171428,history,1
2026-03-11_1379485_U_14,0.22417268,history,0
2026-03-11_1379485_U_142,0.2468835,history,0
2026-03-11_1379485_U_143,0.18647699,history,1
2026-03-11_1379485_U_146,0.22387426,history,0
2026-03-11_1379485_U_147,0.234954,history,0
