fold,feature,beta,se,wald_z,p
3,mean(tod_cos),0.09485075,11.441213179739433,0.008290270208875673,0.9933853971642512
3,mean(is_weekend),-0.05008311,76.27782390395552,-0.0006565880577477944,0.999476118563557
3,mean(rain_mm),0.037250355,0.046568341961092725,0.7999072614003995,0.4237645303377857
3,mean(headway_min),0.12990107,47954.05985894302,2.7088648344804745e-06,0.9999978386385713
3,std(speed_mps),0.06935827,0.20453771992952605,0.33909768288189845,0.7345361439328029
3,std(accel),0.36821336,0.17638681659679442,2.087533312554386,0.036839953038426465
3,std(heading_change),0.162967,0.06644234532681804,2.4527580360046763,0.01417656620217378
3,std(progress_frac),0.02304688,0.04833125820237841,0.47685245439534574,0.6334671905719005
3,std(progress_rate),-0.24707596,0.1974663311055985,-1.2512308232838152,0.21085027565046266
3,std(cross_track_m),-0.506432,0.08670238844987774,-5.841038590478084,5.187638540959938e-09
3,std(dwell_frac),-0.016088502,0.043028280182029775,-0.37390531096102103,0.7084747650093475
3,std(tod_sin),0.15649004,3.856565430408673,0.04057756717201314,0.9676326682276093
3,std(tod_cos),-0.09348943,4.7038639676902925,-0.019875028590737347,0.984143065507959
3,std(is_weekend),0.31111112,0.13298610378548145,2.3394258009965947,0.01931340751953159
3,std(rain_mm),0.09574385,0.09570534208357206,1.0004023577904053,0.3171158294238665
3,std(headway_min),-0.010846075,0.028454836459801163,-0.38116805506423207,0.7030785514097266
3,min(speed_mps),-0.08362407,0.040226282679346546,-2.0788416627880113,0.03763190612183798
3,min(accel),0.39808956,0.14348411150028914,2.7744504511589874,0.00552950564780752
3,min(heading_change),-0.022628749,0.01802610063149709,-1.2553324344528702,0.20935810556832068
3,min(progress_frac),0.5889678,0.04796364574274566,12.27946272681868,0.0
3,min(progress_rate),0.023689874,0.04096786764733738,0.57825498072022,0.563091983917402
3,min(cross_track_m),0.026353803,0.018972265292416912,1.3890698936458086,0.16481149755217883
3,min(dwell_frac),0.13365953,0.02870824750069097,4.655788435101267,3.2274322117054055e-06
3,min(tod_sin),-0.0905845,34.917690905389044,-0.0025942294371512106,0.9979301067066564
3,min(tod_cos),0.053956207,30.242026904806995,0.0017841465143126386,0.9985764577972513
3,min(is_weekend),-0.050082322,30.478338028398174,-0.0016432104061385926,0.9986889083768133
3,min(rain_mm),0.06879838,0.02890654138131798,2.3800280082762053,0.017311322210878055
3,min(headway_min),0.12990426,23992.45754556418,5.414378874038069e-06,0.9999956799506902
3,max(speed_mps),-0.13716675,0.24716316345766345,-0.5549643866521732,0.5789190200573109
3,max(accel),0.21130335,0.10811235512927782,1.954479236503178,0.05064456805740347
3,max(heading_change),-0.09990136,0.05281629973871397,-1.8914873580279699,0.05855931698139116
3,max(progress_frac),0.12427403,0.046504979854096046,2.672273608497245,0.00753391916455648
3,max(progress_rate),-0.04377002,0.193721914212924,-0.22594252768376677,0.8212461206415205
3,max(cross_track_m),0.53732806,0.05151201858347994,10.431120333032409,0.0
3,max(dwell_frac),0.037454497,0.021251239244787928,1.7624617857665164,0.07799130746026917
3,max(tod_sin),-0.07830568,34.785577343427086,-0.002251096073708596,0.9982038867148515
3,max(tod_cos),0.027659409,34.85376394362357,0.0007935845549677027,0.9993668112023608
3,max(is_weekend),-0.050082322,40.961594747815326,-0.0012226653409958994,0.9990244544444495
3,max(rain_mm),-0.23500955,0.10832249873200556,-2.169535911737989,0.03004202099461506
3,max(headway_min),0.12990426,23961.573277425217,5.421357511334363e-06,0.9999956743825431
4,mean(speed_mps),-0.6514478,0.06054732984073604,-10.759314650097823,0.0
4,mean(accel),0.012868886,0.0584936118239513,0.2200049797049702,0.8258672764740287
4,mean(heading_change),-0.18944167,0.0279911305857094,-6.767917624011926,1.3064882509183917e-11
4,mean(progress_frac),-1.7424247,0.05204237848169374,-33.480881875894966,0.0
4,mean(progress_rate),0.024572829,0.05303499363295402,0.4633323604156395,0.6431261536448267
4,mean(cross_track_m),0.28929275,0.05987817591952492,4.831355469671806,1.3560664187117766e-06
4,mean(dwell_frac),-0.24011484,0.041939271877404254,-5.725298202286395,1.0325221344587021e-08
4,mean(tod_sin),-0.08707534,12.670981076342168,-0.00687202808077571,0.9945169580488784
4,mean(tod_cos),0.08073624,11.508890811721379,0.007015119315623362,0.9944027905141297
4,mean(is_weekend),0.004550625,158890.3526253476,2.864003401885071e-08,0.999999977148559
4,mean(rain_mm),-0.016779382,0.043021827986293455,-0.3900201959610436,0.6965216129750393
4,mean(headway_min),0.11699147,56658.06594497628,2.0648687141479747e-06,0.9999983524731328
4,std(speed_mps),0.20879844,0.19476284851934958,1.0720650262510365,0.2836908261783815
4,std(accel),0.13167427,0.17082732883316634,0.7708033351666108,0.4408235100954294
4,std(heading_change),0.03981643,0.06532616661231831,0.6095020382487174,0.5421917221411141
4,std(progress_frac),0.0609118,0.047438022844445184,1.284029077520451,0.19913178150269806
4,std(progress_rate),-0.20562689,0.19142996974009985,-1.0741624748855199,0.2827498676531315
4,std(cross_track_m),-0.53565806,0.08574828134506991,-6.246866445623072,4.187687974166465e-10
4,std(dwell_frac),-0.003176427,0.04180896646641874,-0.07597477883591773,0.9394391637630908
4,std(tod_sin),0.17184028,3.839336038303659,0.04475781191852715,0.9643003525821985
4,std(tod_cos),-0.002217637,4.74691155298291,-0.00046717468496802126,0.9996272485452251
4,std(is_weekend),-0.2100542,0.03900891014666079,-5.384774993153537,7.253532907647298e-08
4,std(rain_mm),0.0069242367,0.08764597422233757,0.07900233547972658,0.9370307654275163
4,std(headway_min),-0.008654367,0.01759546575017701,-0.4918521226749255,0.6228238862901623
4,min(speed_mps),-0.06108613,0.0379819784123664,-1.6082924573846071,0.10777114181649972
4,min(accel),0.5258831,0.14026889145353066,3.7491069696615718,0.00017746538326446348
