fold,feature,drop_roc_auc
2,max(is_weekend),5.662045743825006e-05
2,max(rain_mm),0.0
2,max(headway_min),0.0008747813673261384
3,mean(speed_mps),0.039371631187840525
3,mean(accel),0.0004837085169438926
3,mean(heading_change),0.000593385900248633
3,mean(progress_frac),0.26737451447545896
3,mean(progress_rate),0.004759851756549438
3,mean(cross_track_m),0.005429301131033915
3,mean(dwell_frac),0.0015136561525852076
3,mean(tod_sin),0.0017475914979336316
3,mean(tod_cos),0.001991672132201072
3,mean(is_weekend),-0.001576675683925144
3,mean(rain_mm),-0.0001545715964039185
3,mean(headway_min),0.008991345247848948
3,std(speed_mps),-0.0002494763214892615
3,std(accel),0.0005382765511466548
3,std(heading_change),0.00014882667376319158
3,std(progress_frac),0.011463600239994664
3,std(progress_rate),0.0018494285460841197
3,std(cross_track_m),0.002025932126794894
3,std(dwell_frac),0.0035901051827235244
3,std(tod_sin),0.0013465295428718438
3,std(tod_cos),-0.0012619447244148097
3,std(is_weekend),-0.00018306920658592852
3,std(rain_mm),0.0017271612259281087
3,std(headway_min),0.0003681290550597849
3,min(speed_mps),-4.9486658857722524e-05
3,min(accel),0.0004848609938262749
3,min(heading_change),0.0
3,min(progress_frac),0.027715584770262557
3,min(progress_rate),3.572678335327373e-05
3,min(cross_track_m),0.0008030668457546742
3,min(dwell_frac),0.000950514039613115
3,min(tod_sin),0.002922995685545671
3,min(tod_cos),0.0008801431027053219
3,min(is_weekend),0.0
3,min(rain_mm),0.00021586241242056438
3,min(headway_min),0.0011200329119459562
3,max(speed_mps),0.0006533845452151854
3,max(accel),0.0005658661492395134
3,max(heading_change),-0.0003691418377745004
3,max(progress_frac),0.0021498932387325033
3,max(progress_rate),0.0012397508135439717
3,max(cross_track_m),0.005814193486200691
3,max(dwell_frac),3.946360233550994e-05
3,max(tod_sin),0.004701896138783457
3,max(tod_cos),0.0024749615666422088
3,max(is_weekend),2.266537868651497e-05
3,max(rain_mm),-9.380463351575941e-05
3,max(headway_min),3.9149290458473375e-05
4,mean(speed_mps),0.029456601177937337
4,mean(accel),0.000674613623661957
4,mean(heading_change),0.0006252149520657002
4,mean(progress_frac),0.28123876875456777
4,mean(progress_rate),0.0027444945402175457
4,mean(cross_track_m),0.005584441232105264
4,mean(dwell_frac),0.0011863070160354262
4,mean(tod_sin),0.003281122372211043
4,mean(tod_cos),0.0006928173767249745
4,mean(is_weekend),0.00019215371222220946
4,mean(rain_mm),-0.00016930162073854892
4,mean(headway_min),0.008639931107862975
4,std(speed_mps),0.0003878810025364721
4,std(accel),0.0008177448304028778
4,std(heading_change),0.0002893389149219661
4,std(progress_frac),0.010011190941919967
4,std(progress_rate),0.0005462738059412997
4,std(cross_track_m),0.00125214952065692
4,std(dwell_frac),0.005916233180000852
4,std(tod_sin),5.158849576546443e-05
4,std(tod_cos),0.002160187653153378
4,std(is_weekend),0.002151844826103766
4,std(rain_mm),0.0025930339409312
4,std(headway_min),-0.0006172214221228489
4,min(speed_mps),-2.076974334723758e-05
4,min(accel),0.0011979278620867894
4,min(heading_change),0.0
4,min(progress_frac),0.019467133829156148
4,min(progress_rate),-2.7675078457134463e-06
4,min(cross_track_m),0.0011408043506298427
4,min(dwell_frac),0.00044771828382268454
4,min(tod_sin),0.004515350264391027
4,min(tod_cos),0.001761827737414534
4,min(is_weekend),0.0
4,min(rain_mm),-0.00031807531920383656
4,min(headway_min),0.0028412229697777234
4,max(speed_mps),0.0020747039035295288
4,max(accel),0.0009034569665965053
4,max(heading_change),-0.00033408924809765763
4,max(progress_frac),0.0045858679764412495
